PUBorough,DOBorough,trip_count,avg_distance,avg_fare
Manhattan,Manhattan,3136223,3.552379805262136,24.09236428978046
Queens,Manhattan,178079,13.855751211540984,79.75660027291012
Manhattan,Queens,102909,11.05408632869821,64.23598956359066
Manhattan,Brooklyn,100869,6.722914968920067,45.14925418116145
Queens,Queens,85043,12.002815987206601,41.715547899297526
Brooklyn,Brooklyn,76546,5.800896976981181,25.418786873252394
Queens,Brooklyn,54180,14.179449981543002,63.91495256552207
Brooklyn,Manhattan,53382,10.331482522198518,44.12998089243338
Manhattan,Bronx,28872,8.644416043225242,41.15411367414836
Brooklyn,Queens,18177,14.568140507234451,42.2222500962756
Bronx,Manhattan,17587,31.085983396826993,37.194825723545875
Bronx,Bronx,9983,4.647396574176109,23.532615446258625
Queens,N/A,8435,20.633831653823346,129.42906579727315
Queens,Bronx,8048,14.405749254473166,69.94682032803101
Manhattan,EWR,6615,17.28154195011337,135.74996674225227
Manhattan,N/A,6614,16.13392349561535,107.6739114000607
Brooklyn,Bronx,3868,16.766028955532565,62.47906153050752
Bronx,Brooklyn,3587,16.81930025090605,61.332573180931895
Bronx,Queens,3380,12.578606508875751,51.54507396449709
Unknown,Manhattan,2492,4.551641252006423,37.64914927768863
Manhattan,Unknown,2337,2.2189687633718442,24.93693624304663
Unknown,Unknown,1260,3.1917777777777823,28.74889682539682
Manhattan,Staten Island,458,18.74661572052402,112.9386462882096
N/A,N/A,409,3.9513691931540325,92.5947188264059
Queens,Staten Island,295,26.051016949152544,129.733593220339
Unknown,Queens,285,8.196596491228075,49.67943859649122
Queens,EWR,227,33.467533039647584,209.17057268722468
Brooklyn,N/A,217,22.423778801843312,113.8389400921659
Unknown,Brooklyn,198,10.471161616161616,58.86252525252524
N/A,EWR,163,6.4334969325153395,121.90484662576691
Staten Island,Brooklyn,142,8.468873239436618,37.05105633802818
Queens,Unknown,135,12.471703703703703,84.5331851851852
Brooklyn,Staten Island,122,11.920491803278686,54.3127868852459
EWR,EWR,90,0.19955555555555549,111.9483333333333
Staten Island,Staten Island,81,3.6858024691358025,23.503827160493827
N/A,Manhattan,78,20.07,95.375
Bronx,N/A,76,20.527631578947368,103.86526315789472
N/A,Queens,71,13.712676056338028,74.5656338028169
Staten Island,Manhattan,55,15.834727272727275,89.65872727272728
Brooklyn,EWR,41,17.35,135.3448780487805
Unknown,N/A,34,20.88558823529412,142.0382352941176
Unknown,Bronx,27,12.027407407407408,64.51851851851853
N/A,Brooklyn,21,28.664285714285718,79.98047619047618
N/A,Bronx,19,17.297894736842107,39.68578947368421
Unknown,EWR,15,15.842000000000002,131.18933333333334
EWR,N/A,12,3.6574999999999993,138.8075
Staten Island,Queens,11,22.817272727272726,88.03636363636363
Brooklyn,Unknown,9,2.7933333333333334,35.562222222222225
EWR,Manhattan,8,14.792499999999999,113.51625
Bronx,EWR,4,25.325,170.19750000000002
Staten Island,N/A,4,22.14,169.5575
EWR,Queens,2,39.905,261.97
N/A,Staten Island,2,8.575,56.66
Staten Island,Bronx,2,20.205,123.62
Bronx,Staten Island,2,32.32,132.53
N/A,Unknown,2,1.445,23.85
Bronx,Unknown,1,0.03,49.2
EWR,Brooklyn,1,24.45,216.59
Staten Island,EWR,1,9.46,96.83
Unknown,Staten Island,1,13.75,105.33
