PULocationID,PUBorough,PUZone,pickup_count,total_revenue,avg_tip
237,Manhattan,Upper East Side South,190884,4302165.479999971,2.793801261499135
236,Manhattan,Upper East Side North,168495,3863339.8599999417,2.7457391020504964
161,Manhattan,Midtown Center,155336,4352594.869999899,3.3586053458310032
132,Queens,JFK Airport,142807,11500863.379999148,9.295794043708627
142,Manhattan,Lincoln Square East,119882,2916657.9999999413,2.841600573897655
162,Manhattan,Midtown East,116208,3115246.729999941,3.3234909816879745
186,Manhattan,Penn Station/Madison Sq West,109932,3060476.4299999415,3.337208910963105
230,Manhattan,Times Sq/Theatre District,107747,3375678.8399999132,3.5295608230391506
239,Manhattan,Upper West Side South,104031,2509526.479999941,2.658006747988713
79,Manhattan,East Village,103368,2675720.359999796,2.1452849044191025
138,Queens,LaGuardia Airport,103189,7495978.639999716,9.966524145015477
170,Manhattan,Murray Hill,98091,2623766.439999923,2.9082989265069243
234,Manhattan,Union Sq,97564,2535669.7599999537,2.823616292894793
163,Manhattan,Midtown North,96876,2645332.649999962,3.290588071348813
68,Manhattan,East Chelsea,95219,2741189.3299999246,3.1169954525881747
141,Manhattan,Lenox Hill West,87814,2016499.2199999522,2.412366593026214
249,Manhattan,West Village,86663,2245733.979999936,2.537918142690562
48,Manhattan,Clinton East,85692,2317393.569999946,2.741553587265933
238,Manhattan,Upper West Side North,76855,1839696.1899999622,2.426503025177356
140,Manhattan,Lenox Hill East,74798,1893762.2599999644,2.5611127302869283
263,Manhattan,Yorkville West,73911,1751463.129999962,2.2830620611276164
164,Manhattan,Midtown South,73441,2022117.3399999747,2.8643456652278045
107,Manhattan,Gramercy,71450,1832878.669999953,2.5649965010496265
246,Manhattan,West Chelsea/Hudson Yards,70622,2007711.8699999547,2.80535031576559
229,Manhattan,Sutton Place/Turtle Bay North,62283,1556081.529999984,2.708333092497111
90,Manhattan,Flatiron,58569,1497920.799999996,2.615406955898147
262,Manhattan,Yorkville East,57035,1425228.4099999892,2.3846339966687076
114,Manhattan,Greenwich Village South,56950,1486268.1499999876,2.5562000000000062
148,Manhattan,Lower East Side,54422,1569239.6399999668,2.164065818970265
231,Manhattan,TriBeCa/Civic Center,53643,1638951.61999998,2.889973901534198
113,Manhattan,Greenwich Village North,53522,1376451.1899999925,2.664846231456208
43,Manhattan,Central Park,52390,1296333.470000009,3.073350639435025
100,Manhattan,Garment District,47751,1320070.5499999942,2.911155577893637
143,Manhattan,Lincoln Square West,46462,1152448.1600000127,2.218871981404138
137,Manhattan,Kips Bay,44528,1147420.290000015,1.9849777667984172
144,Manhattan,Little Italy/NoLiTa,42962,1189446.5000000098,2.4326670080536177
158,Manhattan,Meatpacking/West Village West,40886,1169469.9700000111,2.7053372792642914
233,Manhattan,UN/Turtle Bay South,39964,1097242.1400000094,2.738517415674094
151,Manhattan,Manhattan Valley,33265,798583.6900000076,2.125501578235387
75,Manhattan,East Harlem South,32371,843685.1900000109,1.5885385066880873
211,Manhattan,SoHo,31818,902243.9700000033,2.7156156892324987
166,Manhattan,Morningside Heights,28138,798274.9300000085,1.8427908877674353
87,Manhattan,Financial District North,27561,927428.05000001,2.600693371067808
50,Manhattan,Clinton West,26490,726704.9400000034,1.9345945639864102
13,Manhattan,Battery Park City,23240,823049.6799999998,3.584529259896726
41,Manhattan,Central Harlem,19587,528231.6900000001,0.9128176851993669
125,Manhattan,Hudson Sq,18832,537006.4899999998,2.8593903993203065
74,Manhattan,East Harlem North,16881,466794.61000000144,0.845894200580534
4,Manhattan,Alphabet City,16789,458358.93000000285,1.0402918577640121
261,Manhattan,World Trade Center,16551,581152.8300000001,3.4171705637121628
42,Manhattan,Central Harlem North,14282,425340.6200000006,0.41013303458899286
88,Manhattan,Financial District South,14122,504461.3100000005,2.8981426143605704
232,Manhattan,Two Bridges/Seward Park,13406,418495.8000000012,1.251509025809339
24,Manhattan,Bloomingdale,13060,337389.63000000064,1.9227702909647775
255,Brooklyn,Williamsburg (North Side),10114,354419.8600000001,0.8288244018192604
224,Manhattan,Stuy Town/Peter Cooper Village,10065,274480.9399999992,1.192559364133134
244,Manhattan,Washington Heights South,10042,337375.90000000026,0.6322077275443138
45,Manhattan,Chinatown,9765,302370.2099999998,1.9516466973886337
116,Manhattan,Hamilton Heights,9111,288830.14999999997,0.6346054220173414
209,Manhattan,Seaport,8443,281257.2999999995,2.6045256425441177
70,Queens,East Elmhurst,8329,573937.7999999991,9.158421179013086
145,Queens,Long Island City/Hunters Point,7732,319006.8400000003,2.0797051215726823
7,Queens,Astoria,7359,252377.17000000036,0.6983571137382798
61,Brooklyn,Crown Heights North,7253,246974.58000000048,0.3121715152350752
256,Brooklyn,Williamsburg (South Side),6584,234089.80999999976,0.9694577764277035
226,Queens,Sunnyside,6480,288229.41000000015,3.153081790123455
37,Brooklyn,Bushwick South,6473,229333.3700000001,0.3412714351923374
112,Brooklyn,Greenpoint,6267,221608.9700000002,0.7234593904579544
152,Manhattan,Manhattanville,6051,178222.4099999999,0.7479590150388363
97,Brooklyn,Fort Greene,5924,202363.63999999993,0.9328713706954758
33,Brooklyn,Brooklyn Heights,5401,202973.15,1.3984595445287904
80,Brooklyn,East Williamsburg,5399,195167.43000000005,0.8513132061492867
76,Brooklyn,East New York,5266,175787.8700000003,0.05308393467527534
66,Brooklyn,DUMBO/Vinegar Hill,5066,187081.6699999998,1.4131780497433872
65,Brooklyn,Downtown Brooklyn/MetroTech,5015,182278.63999999952,1.6910189431704876
225,Brooklyn,Stuyvesant Heights,4744,166483.11000000016,0.2787795109612142
25,Brooklyn,Boerum Hill,4615,158399.64999999985,1.0138418201516797
243,Manhattan,Washington Heights North,4547,166834.37999999954,0.4936485594897734
264,Unknown,N/A,4312,164503.18,4.987961502782926
181,Brooklyn,Park Slope,4095,146089.75999999995,0.9166544566544568
188,Brooklyn,Prospect-Lefferts Gardens,4032,132585.3499999999,0.23130952380952377
17,Brooklyn,Bedford,3906,133283.8,0.40689452124936
49,Brooklyn,Clinton Hill,3853,137580.13000000012,0.5342200882429277
89,Brooklyn,Flatbush/Ditmas Park,3737,134192.09999999992,0.26322718758362323
129,Queens,Jackson Heights,3686,158107.7899999998,2.698304395008136
36,Brooklyn,Bushwick North,3663,129210.35999999996,0.32248976248976247
39,Brooklyn,Canarsie,3563,122333.61999999991,0.07839180465899524
146,Queens,Long Island City/Queens Plaza,3524,119013.99000000003,1.5687656072644716
35,Brooklyn,Brownsville,3132,97848.68999999983,0.03854086845466156
